Type,Yarn#,Description,Pounds,Mill,Usage,Loss%,Lbs/Wk,MillStyle,
Dye,80A-039,TAN,62,W,,1,,    542A24153-1   ,
Dye,80A-039,TAN,1018,W,,1,,    542A24100-1   ,
Dye,80A-084,MAROON,194,W,,1,,    542A23905-2   ,
Dye,80A-084,MAROON,341,W,,1,,    542A24091-1   ,
Dye,80A-099,GREY,191,W,,1,,    542A22944-2   ,
Dye,80A-099,GREY,202,W,,1,,    542A24039-1   ,
Dye,80A-099,GREY,44,W,,1,,    542A24153-1   ,
Dye,80A-099,GREY,341,W,,1,,    542A24276-1   ,
Dye,80A-099,GREY,223,W,,1,,    542A24276-2   ,
Dye,80A-099,GREY,171,W,,1,,    513A24294-1   ,
Dye,80A-099,GREY,22,W,,1,,    542A24282-3   ,
Dye,80A-099,GREY,48,W,,1,,    770A24328-1   ,
Dye,80A-099,GREY,48,W,,1,,    770A24328-2   ,
Dye,80A-099,GREY,71,W,,1,,    781A23749-2   ,
Dye,80A-099,GREY,195,W,,1,,    542A24384-2   ,
Dye,80A-099,GREY,203,W,,1,,    542A24471-1   ,
Dye,80A-102,BLACK,955,W,,1,,    542A23551-2   ,
Dye,80A-102,BLACK,1670,W,,1,,    542A23551-3   ,
Dye,80A-102,BLACK,748,W,,1,,    542A23367-2   ,
Dye,80A-102,BLACK,478,W,,1,,    542A23902-1   ,
Dye,80A-102,BLACK,999,W,,1,,    542A23906-1   ,
Dye,80A-102,BLACK,691,W,,1,,    542A23906-2   ,
Dye,80A-102,BLACK,2068,W,,1,,    542A23909-1   ,
Dye,80A-102,BLACK,356,W,,1,,    542A23912-1   ,
Dye,80A-102,BLACK,2712,W,,1,,    542A23915-1   ,
Dye,80A-102,BLACK,496,W,,1,,    542A23916-1   ,
Dye,80A-102,BLACK,3503,W,,1,,    542A14742-3   ,
Dye,80A-102,BLACK,1308,W,,1,,    542A23589-7   ,
Dye,80A-102,BLACK,2108,W,,1,,    542A21920-3   ,
Dye,80A-102,BLACK,472,W,,1,,    542A21920-4   ,
Dye,80A-102,BLACK,797,W,,1,,    784A23100-1   ,
Dye,80A-102,BLACK,622,W,,1,,    542A22820-3   ,
Dye,80A-102,BLACK,398,W,,1,,    490A24152-1   ,
Dye,80A-102,BLACK,482,W,,1,,    542A24100-2   ,
Dye,80A-102,BLACK,622,W,,1,,    542A24153-1   ,
Dye,80A-102,BLACK,188,W,,1,,    542A23905-2   ,
Dye,80A-102,BLACK,465,W,,1,,    542A24091-1   ,
Dye,80A-102,BLACK,666,W,,1,,    542A24093-1   ,
Dye,80A-102,BLACK,1092,W,,1,,    542A24099-1   ,
Dye,80A-102,BLACK,484,W,,1,,    542A24102-1   ,
Dye,80A-102,BLACK,233,W,,1,,    542A24271-1   ,
Dye,80A-102,BLACK,5,W,,1,,    542A24272-1   ,
Dye,80A-102,BLACK,72,W,,1,,    542A24273-1   ,
Dye,80A-102,BLACK,19,W,,1,,    542A24273-2   ,
Dye,80A-102,BLACK,576,W,,1,,    542A24275-1   ,
Dye,80A-102,BLACK,379,W,,1,,    542A24276-1   ,
Dye,80A-102,BLACK,1304,W,,1,,    542A24276-3   ,
Dye,80A-102,BLACK,22,W,,1,,    542A24278-1   ,
Dye,80A-102,BLACK,308,W,,1,,    542A24279-1   ,
Dye,80A-102,BLACK,185,W,,1,,    513A24291-1   ,
Dye,80A-102,BLACK,182,W,,1,,    513A24294-1   ,
Dye,80A-102,BLACK,572,W,,1,,    542A24281-1   ,
Dye,80A-102,BLACK,254,W,,1,,    542A24282-2   ,
Dye,80A-102,BLACK,448,W,,1,,    542A24282-3   ,
Dye,80A-102,BLACK,75,W,,1,,    542A24283-1   ,
Dye,80A-102,BLACK,128,W,,1,,    542A24285-1   ,
Dye,80A-102,BLACK,381,W,,1,,    542A24286-1   ,
Dye,80A-102,BLACK,514,W,,1,,    542A24288-1   ,
Dye,80A-102,BLACK,104,W,,1,,    770A24328-1   ,
Dye,80A-102,BLACK,104,W,,1,,    770A24328-2   ,
Dye,80A-102,BLACK,477,W,,1,,    542A23551-6   ,
Dye,80A-102,BLACK,507,W,,1,,    542A23551-7   ,
